4,3,1,4,2,2,4,1,4,4,4,3,1,1,4,1,1,1,1,3,4,1,2,1,1,3,4,1,1,1,2,2,1,4,1,1,4,1,3,1,3,1,2,2,3,4,3,1,3,2,3
13,1,3,29,41,33,38,12,50,24,29,33,12,29,12,13,39,40,46,39,4,3,35,4,44,42,46,15,28,31,24,18,8,49,38,46,5,19,19,34,24,11,19,43,3,27,37,36,41,41,18
2,2,3,4,1,3,2,4,2,3,4,2,2,1,1,4,4,1,2,2,1,3,2,1,4,1,1,2,3,2,1,3,2,4,3,3,3,2,1,3,1,1,2,1,2,1,2,4,1,4,3
41,49,33,38,15,40,3,42,20,42,24,36,50,39,21,1,23,31,10,48,1,41,45,10,26,22,24,12,42,18,42,12,32,10,35,46,36,1,40,30,42,47,30,45,15,47,6,26,27,13,3
1,1,1,3,2,1,1,1,3,2,2,1,1,4,4,2,4,2,3,4,4,2,4,2,3,3,1,3,2,1,4,3,1,2,4,3,3,4,3,4,1,2,1,2,3,2,1,3,4,2,4
48,33,25,8,16,50,23,40,1,23,48,18,9,2,32,42,45,36,32,2,43,34,13,28,21,27,19,34,38,34,11,35,40,17,1,5,37,4,4,36,40,28,49,24,15,23,45,35,2,46,25
1,4,1,2,4,1,2,2,1,1,1,4,3,2,3,1,4,4,3,3,1,4,2,1,4,1,4,3,2,4,2,1,4,4,3,3,3,4,1,3,4,2,1,1,1,4,3,2,4,4,2
16,39,42,3,11,50,6,28,2,9,14,11,31,42,9,50,3,38,34,17,33,26,25,25,3,48,14,39,9,20,15,22,41,18,27,38,20,27,18,45,18,15,26,13,6,30,7,1,33,15,46
4,1,4,1,4,2,2,3,1,3,4,4,3,3,3,1,2,2,4,2,2,4,3,3,4,3,3,4,3,4,2,4,4,4,3,4,2,4,3,4,2,3,2,1,2,4,4,3,1,3,3
49,27,17,43,11,40,27,35,39,5,3,29,6,21,3,45,1,22,41,26,17,38,2,27,35,28,13,40,32,16,1,17,14,25,35,23,31,42,17,13,42,22,13,42,22,17,15,1,17,6,6
4,4,3,2,2,1,3,1,2,4,4,3,4,4,1,2,1,4,2,4,2,1,4,3,4,3,2,2,3,2,4,3,4,3,2,3,4,1,4,1,4,2,1,1,2,1,3,4,4,3,1
33,37,37,49,19,45,5,27,49,47,21,21,12,46,20,16,27,40,45,43,30,31,12,48,24,39,22,49,22,11,8,15,17,49,28,12,22,1,24,30,2,17,12,18,37,7,31,47,22,3,29
1,1,4,4,1,1,2,4,2,1,3,1,3,2,2,4,4,1,1,2,1,3,1,4,3,3,4,2,4,1,2,4,4,1,2,4,1,1,4,3,2,2,2,2,4,3,2,2,4,1,3
24,33,19,47,3,49,45,31,45,2,9,11,30,17,14,39,6,25,1,30,1,43,42,7,39,31,16,12,12,23,34,15,48,39,10,34,38,33,6,10,46,17,24,5,34,2,48,16,20,4,14
3,4,4,4,2,1,4,3,3,2,4,4,1,1,3,2,3,1,4,1,4,2,4,1,4,4,4,3,3,4,1,2,2,1,1,2,2,2,3,1,2,3,1,3,3,2,4,3,2,1,2
21,50,50,40,37,16,26,1,13,32,8,17,18,1,36,37,2,38,30,15,18,44,30,29,47,16,21,45,11,12,13,34,22,27,48,14,25,12,4,18,33,35,5,46,10,31,18,9,8,42,22
3,1,4,1,4,3,2,4,2,1,2,1,1,3,4,4,4,4,4,1,3,3,2,2,1,3,4,2,2,3,1,2,2,4,4,3,4,1,3,1,1,4,1,3,3,2,1,1,1,2,4
9,42,27,11,1,31,8,26,34,15,3,50,2,13,12,10,46,28,25,49,31,2,7,27,27,33,24,22,6,47,20,11,34,33,9,45,28,42,32,39,29,38,15,7,29,37,17,32,9,35,7
2,3,1,3,4,4,4,3,4,2,1,2,1,3,2,1,3,1,1,4,2,2,2,1,2,2,3,4,4,2,1,1,2,4,4,3,4,3,2,1,4,1,1,2,2,4,4,2,3,4,1
36,18,20,7,9,9,36,39,7,47,41,28,14,15,5,38,5,39,50,43,50,43,7,42,45,19,18,33,33,8,11,17,7,39,49,37,7,47,5,6,4,13,15,44,8,10,17,47,34,34,25
4,1,2,4,1,4,3,3,1,2,3,2,2,1,2,2,3,1,1,4,3,1,3,4,2,4,4,4,2,3,1,2,2,1,1,2,2,4,4,2,1,3,2,3,4,4,4,1,1,1,4
31,40,40,42,40,31,13,13,29,40,27,31,31,24,25,22,11,47,40,2,47,20,48,43,50,2,30,30,3,15,10,16,15,9,42,19,48,8,47,43,37,16,14,26,35,3,48,1,10,48,30
3,1,2,4,4,2,1,2,1,3,2,1,2,1,3,1,3,2,1,4,4,4,2,2,4,2,1,1,1,4,2,2,1,1,3,2,3,2,3,1,1,1,1,3,3,4,2,2,4,4,2
25,1,33,1,19,22,39,46,19,16,47,4,22,20,40,30,49,5,9,31,7,29,4,3,2,46,12,35,45,47,46,14,29,30,17,11,47,31,27,1,28,34,34,49,49,17,22,22,50,50,45
1,3,2,2,4,4,4,4,1,4,4,4,2,3,2,4,2,2,2,2,3,3,4,4,2,2,4,1,4,1,3,4,3,3,1,4,2,2,3,3,2,4,4,4,1,3,2,1,2,1,2
39,7,17,42,27,27,42,35,48,49,41,4,17,12,5,7,21,21,49,49,40,48,9,19,20,13,23,30,21,7,45,22,46,46,14,49,1,1,34,31,30,27,31,24,31,25,23,40,32,12,32
1,4,4,2,1,2,4,1,1,2,4,3,3,4,3,1,1,4,1,3,1,1,2,4,4,1,2,4,4,1,2,1,2,2,2,2,1,3,4,2,1,1,1,1,1,1,4,4,4,3,3
4,21,21,21,1,13,8,15,25,35,27,18,41,39,11,38,46,21,14,5,39,11,16,36,43,31,31,14,14,7,15,23,14,33,19,19,40,24,40,6,31,31,31,45,4,24,35,15,4,48,9
1,4,1,2,2,1,3,3,2,3,3,3,2,2,3,4,1,3,3,1,1,1,4,4,4,4,2,2,2,4,2,3,3,4,4,2,3,2,4,2,2,4,1,1,3,3,2,1,2,3,1
18,21,15,38,12,6,50,37,3,30,49,48,16,16,37,11,30,7,46,32,32,39,20,14,38,29,38,19,19,43,36,2,4,13,34,39,30,9,14,11,12,39,38,38,11,42,49,2,20,21,39
1,1,1,1,1,3,4,4,2,3,3,4,3,1,3,3,2,3,1,2,2,4,4,3,1,4,4,1,3,3,2,4,3,4,4,1,1,1,4,1,4,2,4,1,4,2,4,3,4,2,2
37,39,39,20,39,44,5,5,7,45,45,6,31,32,26,26,12,39,26,16,16,4,50,44,44,32,1,43,28,2,36,11,44,36,30,47,4,4,28,44,35,2,14,42,14,24,2,41,26,44,13
3,3,1,2,1,4,4,4,4,2,2,1,4,1,2,1,1,3,1,2,4,2,3,1,1,2,1,3,3,2,1,1,1,3,2,3,4,3,4,1,3,4,3,2,3,1,1,1,3,2,2
50,18,40,48,45,14,28,6,6,28,3,8,10,26,13,7,7,14,44,25,6,31,48,49,49,15,30,41,45,1,13,13,2,21,45,2,15,6,26,18,10,7,7,43,34,12,31,31,41,29,44
4,4,3,3,1,1,2,1,1,1,1,3,1,4,4,1,3,1,1,3,4,3,4,4,1,2,1,1,1,3,3,4,4,4,1,2,1,2,4,2,3,1,4,2,3,4,3,2,1,4,1
20,40,33,33,44,44,50,5,25,25,19,21,10,20,24,2,42,42,16,10,39,48,44,44,19,36,50,19,19,27,36,42,21,48,38,6,10,1,28,20,26,9,22,35,23,2,32,39,45,28,35
2,1,1,1,2,1,4,2,4,4,1,2,1,1,1,2,4,3,1,2,2,2,3,1,1,1,1,4,1,1,1,3,1,2,3,3,4,4,4,4,1,1,1,1,4,2,2,2,3,3,1
23,14,14,14,3,26,39,34,34,34,36,38,49,49,14,38,18,47,21,37,37,33,16,4,31,31,11,31,20,20,20,23,26,13,34,40,50,50,38,38,11,49,47,4,28,33,10,4,31,6,30
2,2,2,3,4,4,4,1,4,1,3,3,2,3,2,3,1,4,4,4,3,3,1,1,2,2,1,1,1,4,2,3,1,2,3,1,2,1,4,3,3,1,1,3,1,1,1,3,4,3,3
35,44,44,15,21,21,21,15,37,41,10,10,40,34,48,5,11,33,33,33,11,35,25,19,22,22,23,14,19,12,20,36,37,49,14,28,39,40,21,22,22,22,22,9,39,40,40,23,43,34,24
3,2,4,4,4,3,3,4,3,2,2,2,2,4,4,2,4,3,2,3,1,2,4,4,1,3,3,3,3,1,1,3,1,4,3,3,2,2,1,4,4,4,2,4,1,1,3,1,1,3,3
19,35,17,17,20,47,26,3,19,31,31,31,4,38,38,39,34,40,48,21,18,21,36,36,9,17,16,29,2,5,34,38,8,22,9,6,43,24,49,8,36,36,42,37,12,12,17,49,49,38,38
1,1,3,3,4,3,1,4,3,3,4,2,3,3,3,2,2,2,1,3,1,3,2,4,3,4,3,3,1,1,1,3,3,4,3,2,2,2,2,2,3,4,4,3,4,3,3,1,3,1,2
7,7,9,9,8,43,38,38,18,18,7,42,1,1,24,35,35,40,41,5,45,29,31,33,26,31,31,31,27,27,8,48,48,46,8,10,28,45,45,6,26,26,26,15,1,3,3,10,29,33,34
3,2,3,3,2,4,3,4,4,4,3,4,4,3,3,4,2,4,4,2,2,1,1,2,4,2,3,2,2,3,1,1,1,2,2,4,1,1,1,3,1,4,4,2,3,1,3,4,3,3,4
10,46,5,5,17,37,5,36,48,48,40,14,30,39,40,3,42,47,27,20,5,25,42,1,14,2,24,9,9,14,3,3,43,2,2,37,29,29,29,34,18,28,2,46,40,11,38,18,3,21,31
2,3,3,3,1,1,3,1,2,2,2,2,3,1,2,2,2,2,3,2,2,4,4,4,4,4,1,2,2,2,2,2,2,3,3,3,3,1,1,2,2,1,4,4,4,4,1,3,1,4,3
21,35,42,42,41,8,50,50,43,43,43,43,7,32,40,40,34,34,39,39,19,7,7,42,42,42,19,36,36,48,48,48,19,39,39,39,7,31,31,16,16,48,37,2,2,37,21,7,41,14,29
1,1,1,2,4,4,3,3,2,4,1,1,3,4,1,1,1,4,4,3,4,3,2,2,1,4,2,2,2,4,2,2,1,1,1,4,4,4,3,3,3,3,1,1,1,3,3,4,4,4,3
30,30,43,19,46,46,14,14,23,47,8,7,32,5,30,30,16,9,9,7,44,47,7,46,43,24,23,45,11,31,31,31,1,12,12,28,26,32,28,28,16,16,27,27,27,39,39,34,34,50,41
2,2,2,3,4,4,4,4,4,1,1,1,1,1,1,2,4,3,1,1,4,1,2,2,1,1,1,2,4,4,2,1,1,1,2,3,3,3,3,3,2,2,4,2,3,3,3,1,2,3,1
20,20,20,27,30,30,30,13,30,30,30,18,22,22,22,14,7,33,45,34,28,42,43,43,50,6,44,2,12,29,18,38,38,38,33,20,23,45,45,45,19,45,32,45,31,50,50,46,28,48,44
3,1,2,3,2,2,1,3,3,2,1,1,1,1,4,1,2,4,4,2,3,3,2,4,4,4,3,4,3,1,3,2,1,4,4,2,2,4,2,2,4,4,2,1,1,2,1,1,3,2,2
